,pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,covaa,covab,covbb,fittype
53,54,46,12105.84,20,4.554,12178.34,14,6.269,-2366.2,4660.1,9,115.6,33177.1,-1686.9,1918.6,l
54,55,46,12255.7,22,3.921,12133.99,14,5.984,-1971,4202.1,5,89.8,349247.5,-37940,9406.9,l
55,56,46,12190.1,26,3.635,12175.73,14,6.619,-3204.1,5734.8,9,144.3,84131.1,-29487.2,12715.3,l
56,57,46,12267.89,26,3.274,12283.3,26,6.169,-1948.3,4367.9,6,139.9,153923.1,-23295.9,8786.3,l
57,58,45,12340.48,26,2.279,12390.15,14,5.082,-2373.6,4091.3,9,68.8,8816.7,117.1,331.3,l
58,59,45,12388.37,22,2.16,12393.07,26,4.956,-2412.7,4345.4,8,113.6,28829.7,-3456.2,1249.1,l
59,60,45,12557,26,2.279,12423.03,12,5.932,-4690,4992.6,9,143.5,42328.2,-7079.2,1714.6,l
60,61,45,12532.84,24,2.709,12457.13,12,6.431,-1891.5,5118.7,9,84.2,6660.2,-2893.1,1775.5,l
61,62,45,12510.52,26,4.956,12583.92,14,6.616,-1964.8,4467.9,9,128.5,10565.7,-42.5,715.9,l
62,63,44,12600.28,22,1.443,12720.15,27,3.53,-1302.1,4869,8,76.3,8732,-4335.6,3188.3,l
63,64,44,12671.1,22,1.43,12789.45,26,5.01,-1637.4,4885.3,8,68,6865.2,-2417.8,1668.8,l
64,65,44,12744.91,22,2.488,12679.17,11,3.617,-2061.4,3314.2,5,144.7,88545.5,24967.1,7678.8,l
65,66,44,12831.44,22,1.43,12807.15,26,3.64,-2805.9,4808.3,9,75.8,15032,-3280.6,1177.8,l
66,67,44,12821.67,22,1.46,12808.24,26,4.988,-3020.6,5954.4,8,93.1,38005.3,-21148.8,12924.8,l
67,68,44,12811.48,22,2.16,12870.04,12,6.588,-1912.8,5417.9,8,121.3,42704.6,-25970.8,18610.5,l
68,69,44,12847.03,22,1.443,12840.57,26,4.956,-4467.7,5626.7,9,65.2,88491.8,-28491.1,10265.1,l
69,70,43,12910.09,24,2.708,12896.12,26,4.913,-3182.3,5018.6,9,88.1,45173.1,-12189,4301.6,l
70,71,43,12921.81,24,2.709,12909.07,20,4.43,-3019.2,3422,8,60.9,104554.3,18815.3,4581.8,l
71,72,43,12919.9,22,2.154,13014.84,26,5.446,-1427.9,4822.1,8,47.9,9993.3,-4565,3073.8,l
72,73,43,12927.48,22,2.154,13134.94,20,4.451,-1180.9,3268.2,5,134.1,22467.4,11581.3,6407.6,l
73,74,43,12932.31,28,2.74,12934.67,26,5.393,-5365.7,5703.1,9,122.1,334876.3,-84843.1,24964.3,l
74,75,43,12937.02,24,2.71,13098.88,26,5.01,-2800,4810.8,9,140.3,27124.6,-6066.5,2232.4,l
75,76,43,12975.91,25,2.888,13029.52,14,6.083,-2654.5,6276.1,9,110.9,19255.5,-12266.6,8604,l
76,77,43,12987.57,22,2.506,13147.92,26,5.393,-1722.7,3694.4,6,101,26666.5,2996.2,863.9,l
77,78,43,13005.36,22,2.175,13152.74,14,4.92,-1807.3,3863.5,6,84.2,33116.9,822.1,729.1,l
78,79,43,13006.68,26,2.99,13030.92,14,6.079,-2665,4734.8,9,74.8,13794.4,-1662.4,798.7,l
79,80,43,13011.9,22,1.443,13123.41,13,3.143,-1819.2,3312.8,8,125.6,10023.5,3598.7,1495,l
80,81,43,13033.55,20,4.441,13102.06,14,6.083,-3156.4,4147.5,8,149.3,29609.9,850.2,691.3,l
