pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
1,57.0,2,9770.3011,22.0,0.8484,7,9861.7337,26.0,5.0638,-2346.7256557053365,5200.925523884969,13,116.33626791833346,0.045074397015293706,0.21377428524973827,-0.39266392897930497,0.4873603593011457
2,57.0,3,9787.6874,22.0,0.8259,9,9887.0468,14.0,6.2227,-1808.1290833950943,6188.650660565509,12,134.04695206204795,0.35440091724096767,0.27975703173531197,0.08173931947341243,0.8645517014655304
3,56.0,18,10034.491,22.0,1.4601,20,10068.329,14.0,6.0986,-858.8397528059223,5267.92075239469,12,59.294747140488774,0.25512781863653744,0.4100460021321371,-0.8488373335204931,0.590709887621051
4,54.0,33,10340.885,26.0,2.1979,43,10469.652,26.0,3.8835,-6356.048992728664,4255.64800146764,18,111.29027644207117,-0.1605272159862617,0.09046009812981422,-0.28998913611620164,0.019883764152780793
5,54.0,34,10343.819,20.0,2.9325,37,10371.263,14.0,4.9296,-3634.051116046813,5615.396068588429,20,72.62248367748653,0.0360055999771987,0.14724317663195963,-0.0918245432605337,0.5197663079132648
6,54.0,38,10395.794,26.0,2.1759,40,10407.037,14.0,6.6161,-1810.590644120699,6257.8961417907385,16,61.4543275259809,0.2557101568563511,0.1907434075048933,0.08774843609087171,1.0300019090713775
7,54.0,39,10396.802,22.0,0.8484,32,10330.228,28.0,4.1054,-1660.3154682385723,5732.671769724028,20,76.28487335971978,0.2623660359754701,0.31587854452912445,-0.2421628303970935,0.8994284066708129
8,54.0,41,10423.027,26.0,2.6924,35,10347.965,26.0,5.3933,-2801.657253395759,5360.49955046482,18,121.14345734274123,0.01885623068376772,0.1822325244042061,-0.3261015837875581,0.20126820136441048
9,54.0,42,10423.743,26.0,3.0713,30,10288.944,14.0,4.9201,-2482.7979105297254,4816.516250858403,19,126.52464422002363,-0.21418094736125257,0.2133554732302201,-0.5424653861139346,0.28963859939685194
10,53.0,44,10486.25,24.0,3.0106,53,10603.425,14.0,4.9296,-2364.0053782878613,4043.3483067170573,15,130.43406852061955,-0.4290428428657291,0.21828964909107018,-0.8685832830148397,-0.0833873582891224
11,53.0,45,10496.113,22.0,0.836,47,10530.514,28.0,4.1054,-1594.2465542579143,5733.636768392354,17,84.30878214381492,0.3191307305798082,0.32571881223343097,-0.17317572354143965,0.9194375427081404
12,53.0,46,10510.01,24.0,3.0133,52,10585.141,14.0,4.9538,-1696.6672229983487,3664.627579542487,15,128.32561807586308,-0.7902612381356737,0.20844670435776985,-1.4177618425019052,-0.650716129385749
13,53.0,48,10532.234,26.0,3.9286,51,10582.16,14.0,6.2227,-2268.0548634257634,6336.15678451227,15,82.84832327622551,0.26243022249965414,0.17742201105344504,0.12931385280758978,0.8083408925032254
14,53.0,50,10577.139,26.0,3.3014,49,10535.709,26.0,6.2057,-2867.4190862125806,5168.986239118574,20,141.2865876412867,-0.044599184627620934,0.1848287729839991,-0.3877133430184345,0.3595531443960008
15,53.0,56,10616.721,26.0,3.2671,57,10627.648,14.0,5.8625,-2056.602073826923,4053.945863811632,18,88.77490033295608,-0.5352679531416369,0.24385374102698662,-1.0366826930919695,-0.06572029095138023
16,52.0,66,10753.004,26.0,3.9597,63,10727.406,14.0,5.984,-4196.5227770033,3226.97110899112,16,134.4163787012092,-0.5097744197791715,0.13158452103686685,-0.694777035942395,-0.24428873865023984
17,52.0,71,10818.274,26.0,3.9597,75,10843.858,14.0,5.8625,-3447.372528124298,3644.3311540313625,16,94.10148764840771,-0.5074095475595592,0.15044051913283538,-0.7171226124997127,-0.3265920290794966
18,52.0,72,10821.66,24.0,3.0133,76,10849.465,26.0,5.5392,-2166.0839848154287,4796.082771961753,16,133.8193808174507,-0.11233233303743159,0.21063790828944307,-0.6214561039233105,0.24907472718632045
19,52.0,74,10838.97,20.0,4.8775,82,10885.333,14.0,6.1807,-2696.930547662786,4186.2122332248455,20,147.10425442005155,-0.4299358436352405,0.21983058474213535,-0.7274604634903482,0.0511398529363922
20,52.0,79,10881.758,26.0,2.845,78,10869.536,14.0,5.0823,-4029.5287160540197,2397.805364388557,15,90.07939419186222,-0.7090803768174135,0.1420653985732404,-0.904192763519323,-0.41908079737847964
