api_blended,real,model
37115216070100,2522.618050906499,2595.11181640625
37115208560000,9075.781385999997,6211.798828125
37081210750000,3229.3936232,2435.0146484375
37115206310000,2924.9599603099996,3031.724853515625
37015222450000,4494.583561299998,6619.9013671875
37125246210000,3034.284973899998,2383.763916015625
37115208360000,6752.747648799999,4932.98974609375
37115205110000,3302.0559845000016,2784.777099609375
37131202110000,6286.332165099999,4850.6162109375
37115210220000,3625.7979069999988,4344.7890625
37015202340000,3422.320660200001,3515.688232421875
37083550230100,497.33261619,718.0338745117188
37015213390000,1358.6058661900001,2568.994384765625
37059262580000,7303.229004499998,6269.77783203125
47017064700000,4243.557145300002,4672.72216796875
37115204490000,2169.3989021959997,3331.356201171875
37115205090000,3812.0440793,3383.195068359375
37059262040000,5065.545309669999,5152.58203125
37115208170000,5123.667804939999,5047.3271484375
37059266850000,1364.6987458110002,1873.689208984375
37117215930000,3506.4510326000004,2696.368896484375
37059257640000,4212.936468699998,2922.77880859375
37115210460000,2417.96107252,3716.260498046875
37019220050000,1712.3634851700003,1650.9482421875
37125249020000,2429.435290899999,2779.271728515625
37081203990000,1801.5906529600006,2007.7469482421875
37131202240000,5342.6275283999985,3640.66552734375
37129287230000,2357.6497346099995,2498.901611328125
37115211880000,2809.99819459,3412.863037109375
37015216680000,5281.6452152699985,3364.9560546875
37015215880000,1622.4688924,1898.2265625
37015219990000,3118.1430317000004,3551.3173828125
37115211760000,4079.24028573,3791.083984375
37015231960000,1619.2003187300006,3021.253173828125
47017060000000,4482.07732639,3417.417724609375
37081209750000,4911.173710510003,3831.562255859375
37113202650000,4207.590361089999,5476.47265625
37117210960000,2947.5289130600004,3413.79833984375
37117217030000,4568.6508664,4563.57958984375
37015209650000,5124.858233,2982.493408203125
37115202300000,4574.185670139998,4183.61181640625
37015207730000,786.91740889,1296.537353515625
37015218150000,4809.0500702,3749.724853515625
37015214940000,1350.5940601700004,2016.9560546875
37059263190000,8978.557974900003,6265.23291015625
37115216500000,10175.121990899997,8190.64501953125
37081206200100,4816.731114600002,3811.339111328125
37115214440000,3700.8333505500004,3309.148681640625
37081204450000,2003.6316941000002,2699.855224609375
37015212460000,4001.7987474299994,4828.39208984375
37003222240000,2424.9514400999988,2045.6304931640625
47001033060000,2104.7375203200004,3239.682373046875
37015220700000,1776.5076148399996,2843.437744140625
37019220440000,2222.9888457199995,2594.968017578125
37035212400000,1644.6936682690002,2137.922607421875
