api_blended,real,model
37115212750000,6181.737605799998,5961.36279296875
37005308630000,1255.0620793399992,1549.422607421875
37015229260000,4578.020087600001,4171.18798828125
37015222650000,8177.791248199998,5677.873046875
37015205950000,2212.4132926099987,1661.1690673828125
37115207760000,3740.6729776,2721.17724609375
37125248370000,2537.1018732999996,2828.008056640625
37015215940000,773.68331019,870.4822998046875
37125246220000,1636.1698810600005,1765.4678955078125
37125248200000,4717.6925477,4328.00830078125
37125242210100,1306.49994909,1342.918701171875
47095021330000,3796.77042235,3921.081298828125
37081211520000,2000.1532804999995,2174.9755859375
37105216700000,782.01673745,899.7474975585938
34111243950000,1862.7177258299998,2605.25244140625
37059266850000,1240.9369645810002,1446.833251953125
37015220540000,2758.2385461,2806.099609375
37117204540000,1710.1978072400004,2696.189697265625
47103031100000,3598.9720731,3050.872314453125
37059265810000,2416.1288300000006,3000.687744140625
37115210110000,7537.684973500002,6626.080078125
37015215710000,2294.3860479899995,2575.204345703125
47095021890000,5115.5170378,4446.869140625
37115210460000,2214.70314014,2910.94677734375
37059262930000,3474.6298204,3214.082763671875
37117214210000,1041.3062818839996,2334.781005859375
37115218320000,4571.5875364,4752.1005859375
37059253740000,3064.50042491,3351.30224609375
37125241890100,2620.4827885000004,1948.918212890625
37115219130000,5325.303095699999,3784.563232421875
37125274590000,3581.5678774584994,2835.618408203125
37015227950000,4149.330671299999,3805.197509765625
37081205510000,1283.4203833000001,1607.657470703125
37059257180000,2086.8797828,2616.442138671875
37019221940000,1462.2882350200002,1826.226318359375
37015217320000,1579.80149155,870.0399169921875
37015214950000,3201.4829298000004,2980.79833984375
37115204420000,2851.2435096249997,2818.413818359375
47017063210000,1869.8129980999997,2332.078125
37115205510000,4297.9549125,3818.21044921875
37051244850100,1158.84785494,1403.030029296875
37117207800000,1584.23016254,1532.2236328125
37059264400000,3099.119618100001,1590.0224609375
37081210940000,2117.2690902000004,3072.96923828125
37115220030000,9212.004518099999,9284.044921875
37005311400100,1677.9272087600002,2321.067138671875
37117214420000,2141.84091243,2178.732421875
47017064950000,4349.5965085,4258.1767578125
47017058920000,1723.1447961300003,1569.4644775390625
47103028810000,2922.0735534000005,3158.024658203125
37081208540000,4520.091411100001,3906.20556640625
37015227640000,5959.063822100001,5078.3544921875
37059265220000,2373.0098070999993,2090.232421875
37125243660100,2509.602311899999,2529.408203125
37125274220000,2157.751497000001,2734.839111328125
37125243370100,823.3850823800001,1118.089111328125
37015214380000,3238.6579473,2206.521240234375
37081213270000,4584.547039839998,4473.89599609375
37115214960000,4267.2269774999995,4417.810546875
37117206990000,1875.11248244,1887.5938720703125
37015224430000,8064.063332300002,8624.404296875
37059254730000,1175.42773771,1219.7303466796875
37081206200100,4270.239498000001,3498.91748046875
37081202840000,3589.2609169999996,3038.029052734375
37115206150000,2493.2906267599997,3126.328369140625
37047249030000,1891.1828563599995,1568.0311279296875
37059265340000,3659.789285199998,3462.298095703125
37051245400000,1454.52160913,1504.9462890625
47085100630000,4625.3307315,4308.74267578125
37019218890000,1540.8481227000002,1144.45703125
37015211780000,714.8536404100001,2003.211669921875
47103026150000,3194.2767064999994,3181.28515625
37125270900000,3359.3081307699995,2909.552734375
37059264390000,3949.893679099999,1969.8216552734375
37131203200000,5139.271046600001,4289.78857421875
37125271460000,3318.55080939,3663.188232421875
47103029840000,5412.90950618,3285.09521484375
37081206240000,627.75154096,1546.041748046875
37035212540000,1763.6416681800006,1397.23388671875
37051245380000,1706.6242207800003,1479.9088134765625
37115209050000,7058.145392,6697.6982421875
47095021600000,3716.3625497000003,3506.06103515625
47017065630000,3630.3224442,3638.841796875
37059262030000,1305.55303914,2022.2911376953125
37081213700000,1767.0898200100007,1745.491943359375
37115210890000,7173.490613400001,7525.35205078125
47095021840000,2828.7949392,3181.486328125
37117213140000,3058.543493699999,2645.503662109375
47091013200000,1207.14141715,2083.102783203125
37015225540000,4079.4760696000008,3364.677001953125
37117215810000,4278.248724500001,3778.24658203125
37081208810000,1280.9432360600001,1930.473876953125
37015213860000,1698.11506292,1640.620849609375
37129284780100,1380.7327878600001,2186.416748046875
37117212910000,2510.8558201700007,2129.32421875
37005311420000,2274.6933705000006,2353.2314453125
37117207950000,1104.5389671500002,2403.65869140625
37081210290000,2912.4072196700004,2949.173095703125
37117216040000,966.7723042099999,1911.1617431640625
