pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR,lineelement1_str,lineelement2_str
1,57,2,9783.3111,22.0,0.836,7,9861.7337,26.0,5.0638,-3188.6128296424795,5257.347726924627,13,83.49921727387773,0.2105904601297694,0.16376021038942,-0.23062276301209123,0.4396799665151857,Ti I,Fe I
2,57,3,9787.6874,22.0,0.8259,8,9868.1857,26.0,5.0856,-2992.7548661254928,5638.031585398794,17,104.43793653351001,0.30995944859240104,0.19315553870367133,-0.1324023725792908,0.6498357347317356,Ti I,Fe I
3,57,9,9879.583,22.0,1.8732,4,9811.5041,26.0,5.0117,-861.5576325452813,4002.7073473001246,12,113.8590384875027,-0.008997535929480611,0.3352499925892413,-1.5483406460158562,0.3297515237384225,Ti I,Fe I
4,56,14,9927.3506,22.0,1.8792,19,9980.4629,26.0,5.0331,-2021.5843917996754,4886.993791141357,13,126.04897838542782,0.19025175348603296,0.24595951495428076,-0.3659330338384333,0.49075761915412963,Ti I,Fe I
5,56,15,9944.2065,26.0,5.0117,30,10068.329,14.0,6.0986,-3033.1653856525736,5235.978127414695,17,120.27164699344888,0.11657501950554072,0.17309665124047582,-0.4373940320383949,0.44375452753450756,Fe I,Si I
6,56,21,9987.8684,26.0,2.1759,20,9986.475,12.0,5.932,-2613.889914616237,3966.6855657603282,14,100.3229717453552,-0.14730601823672043,0.16186581323226767,-0.9309672058587409,0.011177754748064457,Fe I,Mg I
7,56,25,10011.744,22.0,2.1535,18,9961.256,11.0,3.617,-3063.143515421868,4402.810073575899,11,87.36838277131339,0.059229032898042926,0.1490330942017373,-0.36353760584010564,0.22755045649466452,Ti I,Na I
8,56,28,10059.904,22.0,1.4298,27,10041.472,26.0,5.0117,-1160.509060278829,4695.216629023147,14,77.35258872261744,0.33809176363139615,0.35256625652115176,-0.7928105508742137,0.6023585516712889,Ti I,Fe I
9,56,32,10081.393,26.0,2.4242,22,9993.209,12.0,5.9328,-2182.3671770973688,4207.085998847857,14,87.35325361155907,-0.06757290498442664,0.20260561120169088,-0.579296527206377,0.08902489794496597,Fe I,Mg I
10,55,36,10155.162,26.0,2.1759,41,10193.224,28.0,4.0893,-2704.8798210686136,4535.019838006744,16,122.64123421036683,-0.0048783860818781485,0.19475652293920206,-0.46754063095630627,0.2931552364486585,Fe I,Ni I
11,55,38,10167.468,26.0,2.1979,46,10230.795,26.0,6.1189,-2587.7967429282858,5830.3832553487255,17,125.360361543762,0.4180811622532461,0.21030176916604337,-0.11168122474799332,0.8144074526139781,Fe I,Fe I
12,55,47,10265.216999999999,26.0,2.2227,34,10142.844000000001,26.0,5.0638,-2758.553195670003,4603.885952658222,10,113.13617407643991,0.0701897813654126,0.20367385107530311,-0.3714411034118859,0.29809349823199444,Fe I,Fe I
13,54,54,10332.327,26.0,3.6352,58,10347.965,26.0,5.3933,-3543.650755975906,4368.612627588905,15,74.22384550168015,-0.04551808423804982,0.16482841680929727,-0.3068899466859651,0.15741402635040486,Fe I,Fe I
14,54,55,10333.184000000001,26.0,4.5931,69,10455.47,16.0,6.8601,-1790.3905541551671,3846.756177381793,10,123.78061555566907,-0.4052240162738667,0.30756026783731016,-0.9053747987298107,-0.06795255306482179,Fe I,S I
15,54,56,10340.885,26.0,2.1979,49,10288.944,14.0,4.9201,-3335.7267411003795,4856.286183189279,15,72.87382527996498,0.03091137092562388,0.15519148933017854,-0.22913719913648625,0.2653319058668139,Fe I,Si I
16,54,57,10343.819,20.0,2.9325,61,10371.263,14.0,4.9296,-7021.330206686707,4545.916837541766,18,128.97477660366746,-0.040760982260527,0.09570945903981021,-0.24661159681824743,0.12946168715967774,Ca I,Si I
17,54,62,10378.601999999999,28.0,4.0882,70,10456.79,16.0,6.8601,-1365.9752388934996,5206.879547164206,13,87.00797538807133,0.045074733677656124,0.29974157820464303,-0.6700495849289027,0.44566173749802523,Ni I,S I
18,54,64,10395.794,26.0,2.1759,72,10469.652,26.0,3.8835,-8187.243066157767,4826.254459409423,18,89.68840244910281,0.028922669976875984,0.07463550344076987,-0.14805097388123317,0.12758009051747254,Fe I,Fe I
19,54,65,10396.802,22.0,0.8484,59,10353.804,26.0,5.3933,-2957.455809303854,6147.942848236488,15,81.44407596107648,0.49455483504375075,0.1816374932557776,0.2322306330382213,0.7692942202231989,Ti I,Fe I
20,54,66,10423.027,26.0,2.6924,60,10364.062,26.0,5.4457,-4547.514509096436,6714.9125783739655,15,126.3429429615577,0.44128521855878833,0.1188426162401683,0.08303819912751956,0.5932996981893677,Fe I,Fe I
21,54,67,10423.743,26.0,3.0713,52,10330.228000000001,28.0,4.1054,-7443.780503404884,5093.148636431782,11,141.84176174950264,0.06525330418094209,0.07695799385599938,-0.06146332699708537,0.15079162668849,Fe I,Ni I
