api_blended,real,model
37131202160000,4990.845497100001,4431.9140625
37115211380000,7377.7969517,6473.10400390625
37015215280000,1825.1939841,1424.108642578125
37125276950000,2881.5200044,3240.4443359375
37059257070100,3006.6426009000015,2254.639404296875
37015221140000,5381.005302900001,4838.162109375
37015217550000,1366.2276670000003,1312.413818359375
37117209940100,1096.0291538000004,1426.431396484375
37115219950000,4192.4889293,3378.62353515625
47051016080000,1363.7297915,1822.9034423828125
37113202620000,6598.793729000001,4415.0478515625
37113202380000,6030.5932643999995,4604.7861328125
37125244090000,787.6091446199998,980.3922729492188
37015220700000,1246.2201500999997,1853.2181396484375
37059261670000,3556.5042689,4134.06005859375
47033056240000,1866.3489099999997,2284.589111328125
37015218880000,1147.8455741999999,1827.9854736328125
37125276160000,2246.9240802999993,2644.355712890625
37059265400000,2495.6518419,1775.0367431640625
37115219910000,3195.062825999999,3618.048095703125
47103029370100,2234.7060652999994,2681.658203125
37115218690000,1392.9195217999998,1356.9461669921875
37007203930100,2138.6293813999996,1766.6136474609375
37117213160000,1753.1302787999996,1863.3280029296875
37023201810000,466.2222066700001,1082.835693359375
37131201970000,2602.88067351,3653.87451171875
37115208120000,3827.8504974,3223.979736328125
37059264250000,2382.3618894000006,2139.738037109375
37015233060000,1781.0966645000003,2645.818603515625
37059257710000,1315.2089648000006,1180.7755126953125
37115205960000,2883.321664999999,2041.9752197265625
37015215920000,356.88470958,456.0063171386719
37125240970000,1262.3471878999994,1106.9764404296875
37081204600000,1598.0611142000005,1671.6007080078125
37059262640000,2784.300195199999,2661.556640625
37081209630000,286.50830501,1041.010986328125
37115210050000,6783.588852199998,5884.22900390625
47095021910000,2805.92457689,2434.42333984375
37125270820000,3898.943273,2437.797119140625
37059272560000,1741.7368907,1589.5767822265625
37015213890000,1812.6256351000002,1505.551513671875
37083568140000,1440.8897082,1610.1168212890625
37081204260000,1621.4045202999994,1661.79541015625
37059258290000,2401.9340195000004,1755.9263916015625
37117215920000,1520.7229360999995,996.6492919921875
47095022770000,2459.9022191,2999.59033203125
37129286870100,1427.1789388,1233.8897705078125
37081201850000,905.11515991,930.9270629882812
37081204200000,2622.2361547,1701.844970703125
34111243950000,1279.6053293999998,2209.968505859375
37117203810000,2344.5131628,1354.0762939453125
37115214570000,2276.8257298000008,2019.9822998046875
37019220640000,914.6607939,1069.5228271484375
37125244110000,911.3591988000001,1230.0987548828125
37117216930000,1333.5657611,1574.6917724609375
37081208360000,613.1212559200001,1014.0374755859375
37035213130000,2471.0378826999995,1330.1552734375
37081205290000,1042.8649676999999,1243.84814453125
37003222950000,2897.9327187999997,2336.8212890625
47017064540000,3652.369205400001,3845.77294921875
37015208710000,650.9110108999998,1166.6854248046875
37117207910000,261.11006917000003,598.4180908203125
37059266020000,2252.8260188000004,2891.931396484375
37125246630000,1607.4330674999999,1229.717529296875
37115219070000,3466.9231296000007,4083.652099609375
37035212490000,942.5493998799998,774.4554443359375
37015227370000,2159.9113558,3052.86328125
47085102290000,1216.1259772999997,1240.9805908203125
37115221670000,1645.9867358000001,1828.0374755859375
37059256160000,1117.51335868,937.6689453125
37115204090000,2101.2358826,1721.5640869140625
37059264060000,2585.0731427000005,2311.01318359375
37059264200000,4711.9496211999995,4273.11328125
37015224400000,2013.0117224,2008.669921875
37059267010000,2956.3748626999995,2951.775390625
37131202110000,4107.357560199999,3291.615234375
37115217440000,3347.363626399999,3173.658447265625
37115214040000,2624.6595690000004,3951.069580078125
37063370210000,288.71254268999996,569.7177124023438
37125282200000,3671.475716600001,3755.164306640625
47017062650000,2324.5024882,2306.96044921875
47017066990000,3327.2338655,3724.206298828125
37117218880000,3771.3774229,3579.1767578125
47017061590000,2138.140339,2489.542724609375
37019224980000,1183.4543697,1665.6253662109375
37015216810000,1660.7820461999997,1619.9085693359375
37015216870000,3063.6593636,3526.945556640625
37019220780000,1697.1218462,1808.2369384765625
37059269540000,1532.9809840999997,2703.563720703125
37113201700000,6101.0687577,4647.5634765625
37115214230000,3345.8801589000004,2616.9033203125
37059254810000,914.4587612500004,824.1417236328125
37081210720000,1216.5640292999997,1319.1158447265625
37081204840000,1649.8076668999995,1214.72900390625
37115211900000,3106.5552065,3039.69580078125
37015209440000,312.2898156400001,781.8245849609375
47017067270000,6076.720261699999,5478.4296875
37015216070000,928.51287235,1021.709716796875
37015225510000,2048.3524367000005,4276.67041015625
47017063060000,2462.0048899999997,2094.19482421875
37081202290000,1101.3668882,902.8991088867188
37015217430000,2662.3648723000006,3636.62255859375
37005312290000,1961.384016,2048.05810546875
37015201480000,2703.3648034000003,2108.3203125
37125276230000,2436.1205435999996,2031.30078125
37125273290000,2974.8366948999997,3267.296875
37015223870000,4466.9710354,3583.496337890625
37115221330000,4381.8775662,5134.3994140625
37059264910000,2370.3530526000004,3287.90966796875
37059263720000,1594.2308326800003,2142.2705078125
37117215990000,1844.6296607999998,1360.670654296875
37015210530000,557.7079593799999,964.8798217773438
37115216370000,2675.6144384,3404.02099609375
37115221900000,3808.5276269000015,4838.212890625
37063368590000,345.35977598,326.5250549316406
37117211780000,844.36416198,1254.7039794921875
47103031690000,2257.4748870999997,1638.7994384765625
37023201780000,587.75002859,1180.7943115234375
37125274370000,2519.5295053,2975.260009765625
37005312430000,2158.183072440001,2016.906982421875
37117218320000,2968.0793742,3818.963623046875
37125247280000,1357.466554,1406.5145263671875
47095021900000,2911.79132506,2404.2890625
37059266810000,3910.6668711,3231.722900390625
37115204840000,4276.8878232,4013.218994140625
37015226050000,4852.8918204,2750.486328125
37125282090000,6153.959069900002,6898.458984375
37051244130000,766.2587849999998,724.1590576171875
37015222660000,1514.9381387899998,1197.3822021484375
37125271390000,2663.764459,1254.4866943359375
37115216890000,4706.6127625,3903.60595703125
37019221910000,1461.9764676000004,1510.8228759765625
37129280400000,529.3818416599997,695.4805908203125
37113201500000,763.5520015100001,1639.17431640625
47017067230000,1090.1395764000004,1298.9705810546875
37081214790000,4235.738357200001,3513.61328125
37081208180000,665.8049230999999,730.84423828125
37027215330000,863.2675207,880.2320556640625
37115204780000,3476.849374000001,2814.43017578125
37117206950000,1065.8311399,1150.0537109375
47095021260000,4072.518741670002,3484.237060546875
37081207350000,1253.3597524000002,1351.3082275390625
47085101400000,2861.0178445,2713.538330078125
37131202130000,4692.21253112,3919.62158203125
37131203810000,5304.042876399999,4794.47607421875
37131203200000,3393.1496311,3138.156005859375
37035212380000,461.48366535000014,672.008544921875
47095021760000,1575.6329877000003,1677.7720947265625
37033268340100,523.7612794500001,794.5575561523438
47001033070000,1549.3257346000005,1996.6494140625
47097036710000,750.9680217300003,1052.22412109375
37131204810000,4175.295574,4462.3623046875
37115207770000,2778.877105700001,2212.595458984375
37081214760000,1605.6384462999997,1536.20849609375
47033057430000,3114.6859957399997,2300.427001953125
37059257620000,3173.485079599999,2589.146484375
37125245660000,2533.6542602,2427.694091796875
37083567620000,1639.1224275999996,1499.32177734375
47061016690000,2375.0521958499994,2477.64501953125
47095021640000,5221.816429499999,4986.03125
37125269300100,2399.2470733000005,1783.8079833984375
37117208490000,489.85102789000007,794.0906982421875
37015228430000,3956.1816755000004,3111.469970703125
37015225790000,4674.189455799999,4167.05712890625
37019220220000,1369.4513594000002,1112.1712646484375
37125277940000,3625.1395030000003,3066.818359375
37115200770000,2005.2581343399997,1934.580810546875
37125279660000,3918.5796575000004,3862.461181640625
37115220040000,8514.937996400002,5779.07861328125
47095023080000,3232.9182678999996,2834.55517578125
37115212630000,9571.27666,7535.94140625
37117213060000,318.05501857,709.4893798828125
47049021190000,952.0488065999998,1214.8311767578125
37115219220000,2952.6329971,2843.49462890625
37059259120000,1727.6329613000005,1380.78125
37019220170000,832.5768287999998,909.966796875
37125278420000,4738.851225199998,4660.91943359375
47085102330000,2319.2115510999993,2414.98291015625
37131203270000,3047.1690126600006,2925.94580078125
37117204840000,132.72605464000003,639.1829833984375
37003222230100,1172.2934781999998,1428.4901123046875
37035212540000,1253.4636541000002,857.084716796875
37125272470000,3077.9963529999995,3805.974853515625
37115219560000,2749.4334692999996,2293.84814453125
47017064460000,2430.0036557,2692.40576171875
47085101690000,3488.7386988000003,2891.697998046875
37081206430100,2376.0973821,2266.547607421875
37115210150000,5052.249997499998,4632.462890625
37081213150000,821.4349088999998,748.3117065429688
37081204880000,1732.3065901,1917.290283203125
37015227810000,4337.316064357999,3999.230712890625
37019221930000,2309.8119548000004,1654.99951171875
37035212590000,1264.3243532999998,1333.07080078125
37051245610000,1070.1029365000002,954.120849609375
37125245820000,722.4766320599999,928.6209106445312
37115219250000,4350.133202800001,4227.81982421875
37019222120000,1024.3983754999997,1000.7990112304688
37083562510000,1196.7068578299998,1089.630126953125
37129288210000,1575.6447479999997,1841.8924560546875
37115215470000,5270.860435599999,5778.54541015625
37019221760000,344.39113762399995,586.3963012695312
37081207960000,522.4252614999999,724.312255859375
37081203900100,2092.3140022,1492.8714599609375
37015204880000,4694.690516600001,3455.2236328125
37081213570000,2936.0570501000007,3145.5693359375
37003222820100,1615.5726906999998,1575.14794921875
37129286830000,999.31643923,1451.7769775390625
37019225870000,2311.4923317000002,1438.6947021484375
47017067150000,706.566110434,915.7243041992188
47103029980000,2449.168718599999,1957.1298828125
37117211390000,642.6283986400003,909.6646118164062
37047249510000,1443.3325655,1630.74853515625
37115212390000,3943.8678802999984,3611.856201171875
37059263620000,3326.4419034999987,2507.89697265625
37125246390000,1053.5075577,987.1510620117188
37115216810000,2170.2266111000004,2767.83447265625
37059263590000,3253.3728686,2878.4892578125
37125242510100,1278.2585125,1016.507080078125
37117216020000,1427.5932912,1992.8035888671875
37047248350000,1834.8596943900002,1703.4124755859375
37115213280000,7544.9777945000005,8937.150390625
47095022500000,2608.191176299999,2830.182373046875
47017066210000,1842.831468542897,2018.16845703125
37081203520000,198.620800832,1104.1781005859375
37081209120000,1142.6218679000003,1078.67236328125
37125274660000,2716.2553541999996,2681.11767578125
37115207370000,800.44307772,941.716064453125
37117216440000,3177.7682042,3384.10595703125
37125271720000,2959.4010400999987,3227.657958984375
37015220660000,2279.6700591,1751.9373779296875
37015230730000,2209.5176773000003,1490.33154296875
37015208860000,1849.8958050999997,2016.184814453125
47103029320000,1897.8470067999995,1658.26416015625
37115208930000,2970.0693229000003,3136.59814453125
37115200760000,3963.4790811,2242.2509765625
37019224010000,1349.8404573999999,1475.2999267578125
37015210790000,1550.3694238,1662.935302734375
37081201860000,1115.2557422199998,1167.22412109375
37125276420000,4830.4886228,4289.1669921875
37125269850000,5010.6414154,4577.17822265625
37015213750000,61.250266803,422.3178405761719
37083552830000,439.5625380600002,977.6650390625
37115209630000,2494.7995286,2897.6552734375
37015220220000,2634.6554809,2304.383056640625
37035212360000,747.2622982299997,759.7203369140625
37131204650000,7071.697164900003,6345.46435546875
37081201840000,1363.0270907999998,1137.37255859375
37131203760000,4230.4511152,4137.0361328125
37117218720000,3789.996205400002,3882.93115234375
37015222960000,4715.879353200001,4276.11376953125
37115212460000,3155.7254440999995,2730.21923828125
37129285670000,1124.3257388999998,1133.783447265625
37115202680000,4576.969613200001,4449.32373046875
37117207690000,563.3957973,644.1328125
37005308260100,1227.8743814999998,789.5498657226562
37035212680000,228.95163964000002,713.3514404296875
37059268370000,4626.632095100001,3028.953125
47051017880000,2778.5988063000004,2272.242919921875
37083566860000,932.8844177000001,1275.9168701171875
37115219030000,5947.428239199999,5569.56298828125
37117216690000,1405.3677322,1576.90673828125
47097035700000,649.5748192999998,883.6595458984375
37059258260000,3686.4999752999993,2858.937255859375
37117213190000,409.81892404000007,651.41650390625
37115202350000,3505.6664569999994,2935.49560546875
37015204150000,1185.3228782999997,1339.9371337890625
37081204930000,1232.4104065000001,1539.892578125
37051246070000,2676.0607154000004,2199.3984375
37115221480000,1832.9557529540002,2509.852783203125
37115221820000,3363.543814500001,3427.325439453125
37081204910000,744.6453346400001,656.9431762695312
37083548800000,735.8123519000002,1342.6348876953125
37125273070000,2223.7668790999996,2524.32958984375
37059264440000,5604.486332600001,3512.426025390625
37117214810000,951.4556128899999,914.2513427734375
37005312460000,1764.4162761999996,1769.2772216796875
37059256690000,3360.0484580999987,2485.22900390625
47051015550000,2055.4326168999996,2116.293212890625
37059262190000,2672.1033714,2015.48046875
37125278790000,6617.0729139999985,5557.17578125
37015220820000,1996.9650976000005,1619.30029296875
37115220090000,3038.1390125,2537.4208984375
37015203850000,4422.4397875,3407.8427734375
37117212950000,2376.6381942000003,1952.2957763671875
37059266590000,2073.7042530035405,2247.602783203125
37015217250000,1567.4078274000003,1348.9317626953125
37015202310000,2625.0787892000003,1898.6187744140625
37117217820000,1352.5021037967397,1909.70947265625
37015214770000,595.2060980299998,943.6119995117188
37059251690000,1207.3434659999996,857.8789672851562
47085102810000,2271.981578,2408.640625
37115211850000,2324.2526517699994,2284.4150390625
47103030370000,3590.6200744999996,3063.88671875
37125243540000,1405.0390838300004,1198.6051025390625
37117218950000,2169.8314223999996,2394.2861328125
47017066920000,4329.551783700001,3992.8515625
37081202040000,2330.2525628999997,1838.66943359375
47095020960000,1591.02488158,2180.07763671875
37115214680000,2902.6208244,2615.762939453125
37059254750000,343.24920301500003,920.1536865234375
47017063030000,3833.6246286,3460.197265625
37059263160000,1669.2870816000002,1804.629638671875
37125269890000,2435.6319872,2274.789794921875
37131202420000,3074.2657957,3255.369873046875
37007204690000,1831.9469079000003,2408.313232421875
37015221060000,2172.4003705999994,2584.428955078125
47001032210000,1698.0488024,1893.35302734375
47097037190000,634.6671477800002,934.0087280273438
37015214200000,3361.1252197,2563.44970703125
47017065190000,1898.2853769999992,2327.162109375
47051015560000,692.9486632532302,956.3471069335938
37115219050000,2512.3451510999994,2675.85888671875
37131202320000,3490.483659460001,3572.34765625
37115212010000,2571.4743577999993,2458.4736328125
37015206650000,988.6091262,1437.5179443359375
47095021270000,2016.1311793,2422.22607421875
37125280920000,1239.69785733,2609.4453125
37081205680000,1060.0851349,1116.3768310546875
47095022930000,2056.9349917299996,2821.0
37125243520000,1198.1935711300005,1097.7032470703125
37081209480000,800.2999814300001,1356.90576171875
37115214170000,1935.5510623999999,2673.70947265625
37115222300000,3479.429630699999,3826.230712890625
